,Create Time,Classification Business,New-Code,Kategori 1 (ID),Kategori 2 (ID),Kategori 3 (ID),ID Background detail- ID,ID Example,ID Pertanyaan Serupa 1-ID,ID Pertanyaan Serupa 2-ID,ID Pertanyaan Serupa 3-ID,ID Pertanyaan Serupa 4-ID,ID Pertanyaan Serupa 5-ID,ID Pertanyaan Serupa 6-ID,ID Pertanyaan Serupa 7-ID,ID Pertanyaan Serupa 8-ID,ID Pertanyaan Serupa 9-ID,ID Pertanyaan Serupa 10-ID,ID Answer,NEW - ANSWER,combined_question
0,12/1/2022,ASI,794-795-809-117,Lain-Lain, Bertanya pesanan belum jelas,No Category,Pesanan tidak teridentifikasi,"Konsultasi terkait permasalahan yang tidak dapat dibagi dalam skenario di atas, sebagiannya akan dibagi ke dalam skenario ini.",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Maaf, kula tidak mengerti apa yang Anda maksud, bisakah Anda menjelaskan kembali masalah Anda, atau klik tombol di bawah ini untuk menghubungi layanan pelanggan manusia","Mohon maaf untuk jenis permasalahan ini memerlukan validasi verifikasi lebih lanjut dan untuk melindungi keamanan akun, Kakak bisa klik tombol transfer ke CS dibawah ini, atau hubungi kami di 1500920.","Konsultasi terkait permasalahan yang tidak dapat dibagi dalam skenario di atas, sebagiannya akan dibagi ke dalam skenario ini. Pesanan tidak teridentifikasi"
1,12/1/2022,ASI,1210-1211-1257-118,Refund,(Refund) Faspay gagal masuk sistem dan refund manual,Refund,Pembayaran Faspay gagal Refund,Bagaimana jika pembayaran menggunakan Faspay sudah sukses namun gagal masuk sistem?,(Refund) Faspay gagal masuk sistem dan refund manual,Kenapa pembayaran sudah sukses namun gagal masuk sistem?,Apa yang harus dilakukan jika pembayaran sudah sukses namun gagal masuk sistem?,Bagaimana jika refund Faspay gagal masuk sistem?,Apakah jika refund Faspay gagal masuk sistem bisa diproses refund manual?,Apa penyebab transaksi Faspay tidak tercatat di sistem meskipun pembayaran berhasil?,Bagaimana cara mengecek status transaksi Faspay yang belum masuk ke sistem?,Siapa yang harus dihubungi jika terjadi kegagalan input transaksi Faspay ke dalam sistem?,Apakah data pembayaran Faspay bisa sinkron otomatis jika sebelumnya gagal masuk sistem?,Bagaimana proses verifikasi untuk pengajuan refund manual jika refund Faspay gagal masuk sistem?,"Jika Anda sudah sukses melakukan pembayaran namun gagal masuk ke sistem maka secara otomatis pembayaran Anda akan dikembalikan ke menu ""Saldo"" pada aplikasi Akulaku.","Jika Kakak sudah sukses melakukan pembayaran namun gagal masuk ke sistem maka secara otomatis pembayaran Kakak akan dikembalikan ke menu ""Saldo"" pada aplikasi Akulaku.",Bagaimana jika pembayaran menggunakan Faspay sudah sukses namun gagal masuk sistem? Pembayaran Faspay gagal Refund
2,12/1/2022,AFI,597-598-609-119,Asuransi,Ada tagihan asuransi tp tidak merasa melakukan transaksi,Asuransi,Muncul tagihan Asuransi,Muncul tagihan Asuransi tapi tidak pernah melakukan transaksi Asuransi,Kenapa ada tagihan Asuransi muncul?,Tidak pernah melakukan transaksi Asuransi tapi kenapa ada tagihannya?,Bagaimana jika muncul tagihan Asuransi tapi tidak pernah melakukan transaksi Asuransi?,Saya tidak pernah melakukan transaksi Asuransi tapi kenapa ada tagihan Asuransi?,Kenapa tagihan Asuransi ada di akun saya?,Apakah tagihan Asuransi bisa muncul otomatis tanpa konfirmasi terlebih dahulu?,Bagaimana cara mengecek asal-usul tagihan Asuransi di akun saya?,Siapa yang bisa saya hubungi jika merasa tidak pernah mendaftar Asuransi namun muncul tagihannya?,Apakah tagihan Asuransi bisa muncul karena kesalahan sistem atau aktivasi tidak sengaja?,Bagaimana cara membatalkan tagihan Asuransi yang tidak saya setujui?,"Anda bisa melakukan pengecekan terlebih dahulu pada riwayat pesanan di aplikasi Akulaku pada menu berikut:
1. Pilih ""Akun"" pada menu utama
2. Pilih kolom ""Pesanan Saya""
3. Cek detail Pesanan
Anda bisa memastikan terlebih dahulu pada menu tersedbut untuk detail transaksi Asuransi","Kakak bisa melakukan pengecekan terlebih dahulu pada riwayat pesanan di aplikasi Akulaku pada menu berikut:
1. Pilih ""Akun"" pada menu utama
2. Pilih kolom ""Pesanan Saya""
3. Cek detail Pesanan
Kakak bisa memastikan terlebih dahulu pada menu tersebut untuk detail transaksi Asuransi",Muncul tagihan Asuransi tapi tidak pernah melakukan transaksi Asuransi Muncul tagihan Asuransi
3,12/1/2022,ASI,1-2-28-120,Logistik,Ada tambahan biaya ongkir dari pihak toko,Merchant Online,Tambahan biaya ongkos kirim,Bagaimana jika pihak merchant/toko meminta tambahan biaya ongkir/Ongkos kirim?,Kenapa merchant meminta tambahan ongkos kirim lagi?,Bagaimana jika pihak seller meminta tambahan biaya ongkir/Ongkos kirim?,Pihak seller meminta tambahan biaya ongkir/Ongkos kirim,Saya dihubungi toko dan dia meminta tambahan ongkirnya,Kenapa saya masih diminta tambahan biaya ongkos kirim dari toko?,Apakah wajar jika seller meminta tambahan ongkos kirim setelah pembayaran selesai?,Apa yang harus dilakukan jika diminta transfer ongkir tambahan di luar sistem?,Apakah saya wajib membayar ongkos kirim tambahan yang diminta oleh toko?,Bagaimana cara melaporkan seller yang meminta biaya ongkir tambahan tidak sesuai?,Apakah permintaan ongkir tambahan oleh seller melanggar kebijakan platform?,Jika pihak penjual meminta biaya tambahan ongkos kirim diluar aplikasi Akulaku maka Anda tidak perlu melakukan pembayaran dan jika Anda sudah melakukan pembayaran tanpa ada konfirmasi terlebih dahulu ke pihak Akulaku maka untuk permasalahan ini diluar tanggung jawab Akulaku. ,Jika pihak penjual meminta biaya tambahan ongkos kirim diluar aplikasi Akulaku maka Kakak tidak perlu melakukan pembayaran dan jika Kakak sudah melakukan pembayaran tanpa ada konfirmasi terlebih dahulu ke pihak Akulaku maka untuk permasalahan ini diluar tanggung jawab Akulaku.,Bagaimana jika pihak merchant/toko meminta tambahan biaya ongkir/Ongkos kirim? Tambahan biaya ongkos kirim
4,12/1/2022,AFI,738-739-758-121,Keamanan Akun,Akun app - Blokir permanen,Keamanan Akun,Blokir limit permanen,Bagaimana cara mengajukan blokir akun permanen atau hapus akun?,Bagaimana cara tutup akun permanen?,Apakah bisa blokir akun permanen?,Apakah bisa saya blokir akun selamanya?,Bagaimana tutup akun ini selamanya?,"Saya tidak ingin gunakan Akulaku lagi, bagaimana cara tutup akun permanen?","Bagaimana cara menghapus akun Akulaku secara permanen?","Apakah ada cara untuk menonaktifkan akun Akulaku selamanya?","Gimana langkah-langkah tutup akun Akulaku biar nggak bisa dipakai lagi?
","Saya ingin hapus semua data dan akun di Akulaku, bagaimana caranya?
","Bisa nggak akun Akulaku dihapus total dan nggak bisa diakses lagi?
","Perlu diketahui bahwa setelah Anda melakukan pembekuan limit permanen, sistem akan secara otomatis membekukan dan menonaktifkan akunmu. Jika Anda tidak melakukan pembatalan pembekuan akun dalam waktu 30 hari, kami akan menghapus akun Anda secara permanen, serta menghapus atau menganonimkan data yang terdapat di akun sesuai dengan persyaratan ""Kebijakan Privasi"". 
Berikut untuk langkah-langkah proses pembekuan akun permanen di aplikasi Akulaku: 
1. Dalam keadaan aplikasi Login: 
a. Login aplikasi Akulaku 
b. Pilih ""Akun""
c. Kemudian pilih menu ""Keamanan Akun"" 
d. Lalu pilih menu ""Blokir/Batalkan Blokir""
e. Pilih ""Pembekuan Permanen"" 
f. Tunggu hingga 30 hari dan jangan lakukan pembatalan pembekuan akun agar akun Anda terhapus","Kula bantu informasikan bahwa setelah Kakak melakukan pembekuan limit permanen, sistem akan secara otomatis membekukan dan menonaktifkan akun Kakak. Jika Kakak tidak melakukan pembatalan pembekuan akun dalam waktu 30 hari, Akulaku akan menghapus akun Kakak secara permanen, serta menghapus atau menonaktifkan data yang terdapat di akun sesuai dengan persyaratan ""Kebijakan Privasi"". 

Selain itu, Kula bantu informasikan berikut langkah-langkah pembekuan akun permanen di aplikasi Akulaku:

1. Dalam keadaan aplikasi Login: 
a. Login aplikasi Akulaku 
b. Pilih ""Akun"" 
c. Kemudian pilih menu ""Keamanan Akun"" 
d. Lalu pilih menu ""Blokir/Batalkan Blokir"" 
e. Pilih ""Pembekuan Permanen"" 
f. Tunggu hingga 30 hari dan jangan lakukan pembatalan pembekuan akun agar akun Kakak terhapus.",Bagaimana cara mengajukan blokir akun permanen atau hapus akun? Blokir limit permanen
5,12/1/2022,AFI,738-740-759-122,Keamanan Akun,Akun app - Blokir sementara,Keamanan Akun,Blokir limit sementara,Bagaimana cara mengajukan blokir akun sementara?,Apakah bisa blokir akun untuk sementara?,Bagaimana cara blokir limit sementara?,Apakah bisa saya blokir akun sementara?,Bagaimana tutup akun ini sementara?,"Saya tidak ingin gunakan Akulaku saat ini, bagaimana cara tutup akun sementara waktu?","Apakah bisa menonaktifkan akun Akulaku sementara?

",Bagaimana cara menghentikan penggunaan akun Akulaku tanpa menghapusnya permanen?,Bisa nggak saya istirahat dari Akulaku tanpa tutup akun selamanya?,Gimana cara menangguhkan akun Akulaku untuk sementara waktu?,Apakah ada fitur untuk pause atau jeda akun Akulaku sementara?,"Berikut untuk langkah-langkah proses blokir limit di aplikasi Akulaku:

1. Dalam keadaan aplikasi Login:
a. Login aplikasi Akulaku
b. Pilih ""Akun""
c. Kemudian pilih menu ""keamanan akun""
d. Lalu pilih menu ""Blokir/Batalkan Blokir""
e. Pilih ""Pembekuan Darurat (blokir limit sementara)"" atau ""Pembekuan Permanen""

2. Dalam keadaan Logout:
a. Ke tampilan login
b. Pilih menu ""Login bermasalah?""
c. Pilih menu ""Pembekuan akun secara darurat""",Null,Bagaimana cara mengajukan blokir akun sementara? Blokir limit sementara
6,12/1/2022,AFI,738-741-760-123,Keamanan Akun,Akun app - Pemalsuan akun,Keamanan Akun,Pemalsuan akun,Bagaimana jika data diri digunakan untuk pengajuan kredit Akulaku sedangkan bukan pemilik data sendiri yang melakukan pengajuan?,Bagaimana cara mengatasi jika data diri digunakan untuk pengajuan  kredit Akulaku sedangkan bukan saya yang melakukan pengajuan?,"Kenapa data diri saya digunakan untuk pengajuan kredit Akulaku, sedangkan tidak pernah melakukan pengajuan kredit?",Kenapa data diri saya bisa digunakan oleh orang lain?,Bagaimana jika saya tidak pernah ngajuin Akulaku tapi data saya ada di Akulaku?,Kenapa bisa data saya digunakan untuk kredit di Akulaku?,Apa yang harus saya lakukan jika identitas saya disalahgunakan untuk kredit di Akulaku?,Bagaimana cara melaporkan penyalahgunaan data pribadi di Akulaku?,"Saya tidak pernah daftar Akulaku, tapi ada tagihan atas nama saya — bagaimana bisa?",Bagaimana jika data KTP saya digunakan orang lain untuk daftar Akulaku tanpa izin?,Apakah bisa menghapus data saya dari Akulaku jika saya tidak pernah mengajukan akun atau kredit?,"Mohon maaf, untuk jenis permasalahan ini memerlukan validasi verfikasi lebih lanjut dan untuk melindungi keamaan akun Anda. Anda bisa klik tombol trasnsfer ke CS dibawah ini, atau hubungi kami di 1500920.","Mohon maaf untuk jenis permasalahan ini memerlukan validasi verifikasi lebih lanjut dan untuk melindungi keamanan akun, Kakak bisa klik tombol transfer ke CS dibawah ini, atau hubungi kami di 1500920.",Bagaimana jika data diri digunakan untuk pengajuan kredit Akulaku sedangkan bukan pemilik data sendiri yang melakukan pengajuan? Pemalsuan akun
7,12/1/2022,ASI,1-3-29-124,Logistik,Alamat tidak terjangkau,Bug,Alamat tidak terjangkau,Kenapa ingin melakukan konfirmasi alamat tidak terjangkau?,Bagaimana jika ingin isi alamat namun tidak ditemukan?,Kenapa ada notifikasi Alamat tidak terjangkau?,Bagaimana jika alamat tidak terjangkau?,Kenapa bisa alamat saya tidak terjangkau?,Apa yang harus dilakukan jika alamat tidak terjangkau?,Bagaimana cara menambahkan alamat baru jika tidak muncul di daftar Akulaku?,Apa penyebab alamat saya tidak tersedia saat isi data pengiriman di Akulaku?,Bisa nggak pakai alamat manual kalau alamat saya nggak terdaftar di Akulaku?,Bagaimana solusi jika alamat pengiriman saya tidak didukung oleh Akulaku?,Apakah ada cara agar alamat saya bisa masuk jangkauan layanan Akulaku?,"Jika Alamat tidak terjangkau kami sarankan Anda dapat melakukan pengisian alamat secara manual pada menu akun → pengaturan → Alamat penerima → tambah alamat pengiriman, dan pastikan anda telah memilih kategori pengisian yang sesuai dan yang sudah tertera pilihannya di aplikasi Akulaku.","Jika Alamat tidak terjangkau Kula sarankan Kakak dapat melakukan pengisian alamat secara manual pada menu akun → pengaturan → Alamat penerima → tambah alamat pengiriman, dan pastikan Kakak telah memilih kategori pengisian yang sesuai dan yang sudah tertera pilihannya di aplikasi Akulaku.",Kenapa ingin melakukan konfirmasi alamat tidak terjangkau? Alamat tidak terjangkau
8,12/1/2022,AFI,74-75-182-125,Akulaku Paylater,Alfacart - Pembayaran tidak sinkron,Akulaku Paylater,Alfacard - Pembayaran tidak sesuai,Bagaimana jika di aplikasi Akulaku sudah sukses namun pesanan di Alfacard masih menunggu pembayaran?,Kenapa transaksi di Akulaku sudah berhasil namun pesanan di Alfacard masih menunggu pembayaran?,Di Alfacard nya tidak berhasil tapi kenapa limitnya sudah berkurang?,Bagaimana jika transaksi di Alafacard belum berhasil tapi di Akulaku sudah sukses?,Kenapa pembayaran di Alafacard tidak sinkron di aplikasi Akulaku?,Di aplikasi Akulaku sudah sukses pembayaran namun di Alfacard belum berhasil.,Mengapa status pesanan saya di Alfacard masih tertunda padahal pembayaran melalui aplikasi Akulaku sudah dinyatakan berhasil?,"Kalau saldo atau limit saya sudah terpotong, kenapa pesanan di Alfacard belum diproses?",Kenapa ada perbedaan status transaksi antara aplikasi Akulaku dan Alfacard?,Bagaimana cara memastikan pembayaran saya sudah tercatat di sistem Alfacard jika di aplikasi Akulaku sudah sukses?,Apa yang harus saya lakukan jika pembayaran sukses di aplikasi Akulaku tapi pesanan saya belum muncul di Alfacard?,Mohon kesediannya untuk menunggu proses pembayaran 1x24 jam. Pembayaran akan terproses secara otomatis. Mohon dilakukan pengecekan secara berkala.,Null,Bagaimana jika di aplikasi Akulaku sudah sukses namun pesanan di Alfacard masih menunggu pembayaran? Alfacard - Pembayaran tidak sesuai
9,12/1/2022,AFI,74-76-183-126,Akulaku Paylater,Alfacart - Status cancel tidak sinkron,Akulaku Paylater,Alfacard - Status cancel tidak sesuai,Bagaimana jika pesanan menggunakan Alfacard sudah dibatalkan tapi kenapa di aplikasi Akulaku masih ada tagihannya?,Kenapa pesanan menggunakan Alfacard sudah  terbatalkan namun di aplikasi Akulaku masih ada tagihannya?,Kenapa di aplikasi Akulaku masih ada tagihan sedang di Alafacard transaksi sudah batal?,Apa yang harus dilakukan jika di Alafacard sudah terbatalkan tapi di Akulaku justru ada tagihannya?,Kenapa tagihan di aplikasi muncuk dengan transaksi Alafacard yang telah terbatalkan?,Pesanan saya sudah dibatalkan di Alafacard tapi kenapa tagihannya tidak hilang?,Kenapa tagihan di aplikasi Akulaku tetap muncul meskipun pesanan dengan Alfacard sudah dibatalkan?,"Jika pesanan dibatalkan di Alfacard, kenapa di aplikasi Akulaku masih ada tagihan yang belum hilang?",Bagaimana cara mengatasi tagihan yang tetap muncul di aplikasi Akulaku meskipun transaksi Alfacard sudah dibatalkan?,Kenapa saya masih melihat tagihan di aplikasi Akulaku padahal transaksi Alfacard sudah dibatalkan?,Apa yang harus saya lakukan jika tagihan di aplikasi Akulaku tidak hilang meskipun transaksi di Alfacard telah dibatalkan?,"Anda dapat melakukan pengecekan terlebih dahulu detail perhitungan total tagihannya saat ingin melakukan pembayaran tagihan. Dan pastikan status transaksi di aplikasi Akulaku pada menu ""Pesanan Saya"" sudah dibatalkan atau ""telah direfund""","Kakak dapat melakukan pengecekan terlebih dahulu detail perhitungan total tagihannya saat ingin melakukan pembayaran tagihan. Dan pastikan status transaksi di aplikasi Akulaku pada menu ""Pesanan Saya"" sudah dibatalkan atau ""telah direfund""",Bagaimana jika pesanan menggunakan Alfacard sudah dibatalkan tapi kenapa di aplikasi Akulaku masih ada tagihannya? Alfacard - Status cancel tidak sesuai
