,Date,CSAT [Before],CSAT [After]
0,2024-03-01,3.32,3.68
1,2024-03-02,3.31,3.67
2,2024-03-03,3.80,3.95
3,2024-03-04,3.62,3.97
4,2024-03-05,3.52,3.65
5,2024-03-06,3.20,3.68
6,2024-03-07,3.66,4.00
7,2024-03-08,3.85,4.00
8,2024-03-09,4.00,4.20
9,2024-03-10,3.48,3.90
10,2024-03-11,3.20,3.33
11,2024-03-12,3.20,3.46
12,2024-03-13,3.29,3.58
13,2024-03-14,3.79,3.86
14,2024-03-15,3.22,3.28
15,2024-03-16,3.26,3.46
16,2024-03-17,3.30,3.89
17,2024-03-18,3.39,3.45
18,2024-03-19,3.48,3.67
19,2024-03-20,3.70,3.70
20,2024-03-21,3.45,3.67
21,2024-03-22,3.70,3.90
22,2024-03-23,3.67,3.81
23,2024-03-24,3.84,4.03
24,2024-03-25,3.76,3.91
25,2024-03-26,3.82,4.13
26,2024-03-27,3.33,3.47
27,2024-03-28,4.24,4.44
28,2024-03-29,3.43,3.70
29,2024-03-30,3.26,3.67
30,2024-03-31,3.43,3.83
31,2024-04-01,3.30,3.65
32,2024-04-02,3.66,3.81
33,2024-04-03,3.64,3.81
34,2024-04-04,3.70,3.76
35,2024-04-05,3.45,3.71
36,2024-04-06,3.41,3.52
37,2024-04-07,4.00,4.17
38,2024-04-08,3.36,3.68
39,2024-04-09,3.55,3.63
40,2024-04-10,3.80,4.00
41,2024-04-11,4.00,4.13
42,2024-04-12,3.85,4.21
43,2024-04-13,3.53,3.77
44,2024-04-14,3.81,4.17
45,2024-04-15,3.50,3.86
46,2024-04-16,3.63,3.81
47,2024-04-17,3.85,4.03
48,2024-04-18,3.91,4.17
49,2024-04-19,3.31,3.47
50,2024-04-20,3.62,3.91
51,2024-04-21,3.52,3.65
52,2024-04-22,4.00,4.39
53,2024-04-23,3.55,3.55
54,2024-04-24,3.77,4.16
55,2024-04-25,3.30,3.50
56,2024-04-26,3.36,3.40
57,2024-04-27,3.48,3.81
58,2024-04-28,3.66,4.19
59,2024-04-29,3.89,4.10
60,2024-04-30,3.63,3.66
61,2024-05-01,3.51,3.61
62,2024-05-02,3.80,3.91
63,2024-05-03,3.68,3.84
64,2024-05-04,3.74,3.92
65,2024-05-05,3.66,3.85
66,2024-05-06,4.22,4.40
67,2024-05-07,3.58,3.85
68,2024-05-08,3.06,3.47
69,2024-05-09,3.12,3.84
70,2024-05-10,2.89,3.61
71,2024-05-11,3.64,4.02
72,2024-05-12,3.74,4.22
73,2024-05-13,3.77,3.86
74,2024-05-14,3.66,3.85
75,2024-05-15,4.08,4.34
76,2024-05-16,3.81,3.91
77,2024-05-17,3.27,3.44
78,2024-05-18,3.32,3.39
79,2024-05-19,3.66,3.70
80,2024-05-20,3.57,3.90
81,2024-05-21,3.91,4.14
82,2024-05-22,3.89,4.02
83,2024-05-23,3.88,4.00
84,2024-05-24,4.03,4.30
85,2024-05-25,3.94,4.26
86,2024-05-26,3.98,4.36
87,2024-05-27,3.38,3.57
88,2024-05-28,3.78,3.92
89,2024-05-29,3.92,4.24
90,2024-05-30,3.37,3.65
91,2024-05-31,3.63,3.83
92,2024-06-01,4.00,4.13
93,2024-06-02,3.98,4.30
94,2024-06-03,3.10,3.32
95,2024-06-04,3.70,4.23
96,2024-06-05,3.77,4.23
97,2024-06-06,3.76,3.94
98,2024-06-07,3.80,3.87
99,2024-06-08,3.59,4.29
100,2024-06-09,3.94,4.36
101,2024-06-10,3.86,4.02
102,2024-06-11,3.74,4.00
103,2024-06-12,2.95,3.63
104,2024-06-13,3.56,3.86
105,2024-06-14,4.02,4.11
106,2024-06-15,4.11,4.53
107,2024-06-16,4.00,4.48
108,2024-06-17,3.93,4.36
109,2024-06-18,3.80,4.22
110,2024-06-19,3.81,4.15
111,2024-06-20,3.93,4.31
112,2024-06-21,3.09,3.53
113,2024-06-22,3.50,3.78
114,2024-06-23,4.04,4.13
115,2024-06-24,3.32,3.79
116,2024-06-25,3.72,3.91
117,2024-06-26,3.66,3.96
118,2024-06-27,3.98,4.41
119,2024-06-28,3.77,4.03
120,2024-06-29,3.76,4.02
121,2024-06-30,4.04,4.33
122,2024-07-01,3.34,3.52
123,2024-07-02,3.57,3.97
124,2024-07-03,3.50,3.88
125,2024-07-04,3.51,3.91
126,2024-07-05,3.74,4.06
127,2024-07-06,4.07,4.67
128,2024-07-07,3.67,4.31
129,2024-07-08,3.95,4.29
