Date,Validator,Ticket ID,AFI,Type,Indikasi Kata Negative,cluster,cluster_id,label,noise_cluster
2025-12-2,Aulia,20414100,ASI,Kalimat,kuota atau paket yg saya beli blum msuk sampai skrg,17,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Aulia,20414518,ASI,Kalimat,kemaren saya bayar Wifi pakai akulaku deskripsinya sudah berhasil tapi kenapa belum masuk ya mas,38,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Aulia,20526184,ASI,Kalimat,kenapa lokasinya gagal terus ya,42,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Aulia,20526441,ASI,Kalimat,nasabah AKULAKU NAMUN SY TDK ADA TUNGGAKAN,3,0,(Cluster A) Masalah Pengajuan/Akses Pinjam,
2025-12-2,Aulia,20371657,ASI,Kalimat,"tolong sy pusing,sy bilang pinjaman yg sy ajukan belum sy terima",7,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Aulia,20419031,ASI,Kalimat,"gak ada pengaruh sama aja jawabannya ganti"" cs dari kemarin sama aja gk bakal ada perubahan apk gak nyaman untuk pinjol",41,-1,(Cluster Noise) Keluhan Umum/Noise,-1.0
2025-12-2,Aulia,20372209,ASI,Kalimat,"ini kesalahan dari akulaku nya lambat ,tangganin nyaa",9,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Aulia,20531716,ASI,Kalimat,saya juga bisa buat laporan atas masalah ini,1,-1,(Cluster D) Masalah Laporan/Investigasi,0.0
2025-12-2,Aulia,20561905,ASI,Kalimat,"kalau mau saya bayarkan itu ya buang bunganya. krna saya tidak merasa memakai nya..
dan klopun tidak ya sudah terserah sya tidka akan bayarkan",0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Aulia,20285647,ASI,Kalimat,ingat saya sudah bayar ya!!,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Azer,22055951,ASI,Kalimat,kenapa pinjaman saya masih ditolak ya kak,7,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Azer,22078903,ASI,Kalimat,kenapa sudah bayar tetapi masih muncul,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Azer,22079521,ASI,Kalimat,Sudah lunasi Pinjaman tapi tagihan muncul,7,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Azer,22074769,ASI,Kalimat,Tidak muncul Virtual Account tagihan Pinjaman,18,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Azer,22080660,ASI,Kalimat,Pembayaran Akulaku Paylater tidak sesuai,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Azer,22079914,ASI,Kalimat,mau diganti tp tidak bisa,15,0,(Cluster A) Masalah Pengajuan/Akses Pinjam,
2025-12-2,Azer,22078932,ASI,Kalimat,Pembayaran tagihan Pinjaman belum masuk,4,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Neneng,22432898,ASI,Kalimat,no VA sudah sesuai tapi gagal terus,15,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Neneng,22433818,ASI,Kalimat,kenapa pinjaman saya lama sekali cair nya,7,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Neneng,22477040,ASI,Kalimat,kenapa sekarang status tagihanku masih bulan November saja seharusnya tagihanku berubah menjadi bulan Desember,25,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Neneng,22476896,ASI,Kalimat,pembayaran melalui bca kok dihilangkan,12,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Neneng,22476896,ASI,Kalimat,tidak ada pilihan untuk bayar melalui BCA,4,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Neneng,22476735,ASI,Kalimat,"bos ini saya sudah bayar di bulan ini , kok masih blm masuk ya pembayarannya",0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Neneng,22476610,ASI,Kalimat,saya mau bayar tapi kok gak bisa,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Neneng,22476568,ASI,Kalimat,sudah bayar dana cicil namun masih dalam penagihan,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Reza,22299182,ASI,Kalimat,Pret akh teu berpungsi dana cicil ya,17,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Reza,22298970,ASI,Kalimat,kok gk bs pinjm lg kk,17,0,(Cluster A) Masalah Pengajuan/Akses Pinjam,
2025-12-2,Reza,22298508,ASI,Kalimat,sebelumya saya mau mengajuhkan pinjaman diakulaku tetapi menunggu pending terus tidak di-ACC padahal belum pernah pinjol,7,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-2,Reza,22298508,ASI,Kalimat,saya sudah semuanya tetapi tidak diverifikasi,46,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Reza,22298686,ASI,Kalimat,"lama kelamaan limit itu BKN ny bertambah,yg ada malah berkurang terus🤦",2,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-2,Reza,22298371,ASI,Kalimat,AQ udah bayar tagihan 390 kok masih ada tagihan,0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-3,Aulia,20171153,ASI,Kalimat,"informasi sudah jelas dan itu harus bikin"" laporan/ dukumen kurang ribet bang",1,-1,(Cluster D) Masalah Laporan/Investigasi,0.0
2025-12-3,Aulia,20249280,ASI,Kalimat,kejelasannya dong udh seminggu ga dikabarin,5,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-3,Aulia,20518183,ASI,Kalimat,kalo emang tida bisa meminjam di aplikasi ini bilang,45,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-3,Aulia,20554534,ASI,Kalimat,"itu bukti trsferan saya,, saya udah bayar lunas, tpi ko jdi ribet begini",0,1,(Cluster B) Masalah Tagihan & Pembayaran,
2025-12-3,Aulia,20191012,ASI,Kalimat,akulaku kok gini sih. kecewa banget aku,9,-1,(Cluster C) Masalah Sistem & Fitur Aplikasi,1.0
2025-12-3,Aulia,20167667,ASI,Kalimat,sudah dapet email dari akulaku tapi blon ada perkembangan,24,-1,(Cluster D) Masalah Laporan/Investigasi,0.0
