,June (before ALIKA),August (after ALIKA),Absolute change,Relative change (%)
Unique connected users,62928.0,131831.0,68903.0,109.495
KULA conversations,85655.0,179559.0,93904.0,109.6305
Average unique users/day,2495.5667,5063.8065,2568.2398,102.9121
Average conversations/day,2855.1667,5792.2258,2937.0591,102.8682
Conversations per user,1.3612,1.362,0.0009,0.0647
Rated conversations,872.0,1417.0,545.0,62.5
Rating response rate (%),1.018,0.7892,-0.2289,-22.4827
Mean score,3.3337,3.367,0.0333,0.9976
CSAT 4-5 (% rated),56.8807,57.8687,0.988,1.737
Dislike score 1 (% rated),35.8945,35.2152,-0.6793,-1.8924
"Dislikes per 1,000 conversations",3.6542,2.779,-0.8752,-23.9496
